Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-04-26,VfL Wolfsburg,Freiburg,4,1,3,2,Sven Jablonski
2025-04-27,VfL Bochum 1848,Union Berlin,3,2,10,4,D Aytekin
2025-04-26,Holstein Kiel,M'gladbach,2,1,7,8,R Hartmann
2025-05-03,RB Leipzig,Bayern Munich,3,1,2,7,F Zwayer
2025-05-03,Dortmund,VfL Wolfsburg,0,1,4,3,F Brych
2025-05-02,FC Heidenheim,VfL Bochum 1848,0,1,6,4,S Stegemann
2025-05-04,Freiburg,Leverkusen,1,2,4,1,D Siebert
2025-05-04,Augsburg,Holstein Kiel,0,2,12,0,H Osmers
2025-05-04,Mainz,Ein Frankfurt,1,0,8,1,M Petersen
2025-05-03,M'gladbach,Hoffenheim,0,0,4,7,F Willenborg
2025-05-03,Union Berlin,Werder Bremen,2,3,5,5,S Storks
2025-05-03,St. Pauli,Stuttgart,8,3,4,4,F Exner
2025-05-11,Leverkusen,Dortmund,0,2,12,0,D Aytekin
2025-05-11,Stuttgart,Augsburg,1,2,11,2,T Gerach
2025-05-10,Bayern Munich,M'gladbach,1,1,4,9,Sven Jablonski
2025-05-11,Ein Frankfurt,St. Pauli,2,2,3,1,C Dingert
2025-05-10,Werder Bremen,RB Leipzig,1,3,11,4,B Dankert
2025-05-09,VfL Wolfsburg,Hoffenheim,0,2,5,6,M Jöllenbeck
2025-05-10,Union Berlin,FC Heidenheim,2,0,1,2,F Badstübner
2025-05-10,VfL Bochum 1848,Mainz,3,0,6,6,T Stieler
2025-05-10,Holstein Kiel,Freiburg,1,0,2,5,R Schröder
2025-05-17,RB Leipzig,Stuttgart,1,0,5,8,D Siebert
2025-05-17,Dortmund,Holstein Kiel,3,2,7,1,H Osmers
2025-05-17,Hoffenheim,Bayern Munich,0,0,1,4,D Schlager
2025-05-17,FC Heidenheim,Werder Bremen,3,2,6,4,T Welz
2025-05-17,Freiburg,Ein Frankfurt,2,4,4,7,B Brand
2025-05-17,Augsburg,Union Berlin,0,0,4,0,F Brych
