Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-12-15,Villarreal,Betis,5,5,5,5,G Cuadra Fernández
2024-12-14,Sevilla,Celta,7,3,3,4,J Gil Manzano
2024-12-14,Mallorca,Girona,6,2,2,4,F Hernández Maeso
2024-12-13,Real Valladolid,Valencia,5,2,1,7,M Ortiz Arias
2024-12-15,Sociedad,Las Palmas,2,3,8,6,M Melero López
2024-12-22,Betis,Vallecano,0,4,5,5,V García Verdura
2024-12-21,Celta,Sociedad,3,5,4,7,M Busquets Ferrer
2024-12-21,Getafe,Mallorca,4,3,3,0,J Munuera Montero
2024-12-20,Girona,Real Valladolid,3,1,9,1,P González Fuertes
2024-12-22,Real Madrid,Sevilla,1,2,6,6,I Díaz de Mera Escuderos
2024-12-22,Leganés,Villarreal,3,2,1,5,A Muñíz Ruiz
2024-12-21,Osasuna,Ath Bilbao,0,1,4,3,A Quintero González
2024-12-21,Barcelona,Ath Madrid,0,3,11,3,R De Burgos Bengoetxea
2024-12-22,Valencia,Alaves,2,1,5,4,Javier Alberola Rojas
2024-12-22,Las Palmas,Espanol,4,2,2,2,C Soto Grado
2024-12-04,Ath Bilbao,Real Madrid,3,3,5,2,J Sánchez Martínez
2025-01-12,Ath Madrid,Osasuna,1,0,4,0,I Díaz de Mera Escuderos
2025-01-13,Sociedad,Villarreal,4,2,3,7,C Soto Grado
2025-01-11,Sevilla,Valencia,1,2,10,1,F Hernández Maeso
2025-01-11,Alaves,Girona,1,4,6,3,M Busquets Ferrer
2025-01-11,Espanol,Leganés,2,3,8,4,J Martínez Munuera
2024-12-03,Mallorca,Barcelona,4,3,2,5,J Gil Manzano
2025-01-11,Real Valladolid,Betis,2,4,1,8,A Cordero Vega
2025-01-10,Vallecano,Celta,2,4,3,3,G Cuadra Fernández
2025-01-12,Las Palmas,Getafe,2,3,4,5,Javier Alberola Rojas
2025-01-18,Girona,Sevilla,0,4,7,4,J Martínez Munuera
2025-01-19,Osasuna,Vallecano,3,2,6,3,A Muñíz Ruiz
2025-01-17,Espanol,Real Valladolid,2,2,1,7,R De Burgos Bengoetxea
2025-01-19,Celta,Ath Bilbao,2,0,3,4,M Ortiz Arias
2025-01-18,Leganés,Ath Madrid,1,3,2,9,M Melero López
